Handicapped infants;water-project cost-sharing;budget adoption;physician-fee-freeze;el-salvador-aid;religious-groups-in-schools;anti-satellite-test-ban;aid-to-nicaraguan-contras;mx-missile;immigration;synfuels-corporation-cutback;education-spending;superfund-right-to-sue;crime;duty-free-exports;export-administration-act-south-africa;Y
1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0
1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0
1;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0
1;1;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0
0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0
0;1;0;1;1;1;0;1;0;0;0;0;1;1;0;1;1
0;0;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1
1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0
0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0
1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0
0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1
1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1
0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0
1;1;0;1;1;1;0;0;0;1;0;0;1;1;0;1;1
1;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0
1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0
0;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;0
0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;1;0
0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1;0
0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0
0;0;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1
1;0;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0
0;0;1;1;1;1;0;0;1;1;0;1;1;1;0;1;1
0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;0
0;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1
0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1
0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0
0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0
0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0
0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0
0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0
0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0
0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0
0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0
0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0
0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1
0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0
0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0
0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1
0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0
0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0
0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0
0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1
0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0
0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0
0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0
0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1
1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1
1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0
1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0
1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0
1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1
1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0
1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0
1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0
1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0
1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0
1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0
1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1
1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0
1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0
1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1
1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0
1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0
1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1
1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0
1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0
1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0
1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0
1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0
1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0
1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0
1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0
1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0
1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0
1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0
1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0
1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0
1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0
1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1
1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0
1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1
1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0
1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0
1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1
1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0
1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0
1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0
1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1
1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1
1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0
1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0
1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0
1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0
1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0
1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1
1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0
1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0
1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0
1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1
1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1
1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0
1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0
1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0
1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1
1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0
1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0
1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1
1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1
0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1
0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0
0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0
0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0
0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0
0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1
0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0
0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0
0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1
0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0
0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0
0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0
0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1
0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1
0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0
0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0
0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0
0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1
0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0
0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0
0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;1;0
0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0
0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0
0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0
0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0
0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0
0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0
0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0
0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0
0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1
0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0
0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0
0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1
0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0
0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0
0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0
0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0
0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0
0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0
0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1
0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0
0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;1;0
0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0
0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1
0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0
0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0
0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1
0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0
0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0
0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1
0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1
0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0
0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1
0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0
0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0
0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1
0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0
0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0
0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1
0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0
0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0
0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0
0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0
0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0
0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0
0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0
0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0
0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0
0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0
0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0
0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0
0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0
0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1
0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0
0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0
0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1
0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0
0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0
0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0
0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0
0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0
0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0
0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0
0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0
0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0
0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0
0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0
0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0
0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0
0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0
0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0
0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0
0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0
0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1
0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0
0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0
0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0
0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0
0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0
0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0
0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0
0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0
0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0
0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0
0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0
0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0
0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0
0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0
0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0
0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0
0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0
0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0
0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0
0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0
1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1
1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0
1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0
1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0
1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0
1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0
1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0
1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1
1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0
1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0
1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1
1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0
1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0
1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1
1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0
1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0
1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0
1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0
1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0
1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0
1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0
1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0
1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1
1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1
1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0
0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1
0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0
0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0
0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1
0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1
